keyid,village,intervention,date0,resurvey0,respondent0,homegarden0,va_exposed0,vaknowledgecountgen0,va_sourcegen0,ofsp_known0,ofspknowledgecountgen0,grew_ofsp0,ofsp_future0,goodrf_optionscountgen0,boughtofsp0,freeofsp0,planbuy0,gender0,widow0,education0,electricity0,house0,totalgoods0,sec0,evergrew0,ofspfreqad0,ofspfreqch0,date1,resurvey1,respondent1,ageofhh1,ageofspouse1,homegarden1,toilet1,vas1,va_exposed1,vaknowledgecountgen1,va_sourcegen1,ofsp_known1,ofspknowledgecountgen1,grew_ofsp1,ofsp_future1,price1,amount1,freechoice1,duration1,adult_ate1,child_ate1,adult_greens1,child_greens1,age_for_food1,goodrf_optionscountgen1,boughtofsp1,freeofsp1,planbuy1,nutreventcount1,ageventcount1,evergrew1,adultofspdiet1,childofspdiet1,ofspfreqad1,ofspfreqch1
101001,Kushalpur,Ag Only,14dec2017,0,Spouse of Head,0 No,"2 Has heard of vitamins, but not A",0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,0,2 No Formal Education,1 Full,Pucca,7,A3,0,,,31aug2018,0,Spouse of Head,75,70,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",2,0 No,1 Yes,,,,,,,1 Ate frequently,5 Did not eat,12,0,0,0,1,0,0,0,,,0,0
101002,Kushalpur,Ag Only,14dec2017,0,Other,0 No,1 Has not heard of vitamins,0,0,"2 Yes, saw it only",0,0 No,0 No,0,,,,1 Female,0,1 Illiterate,1 Full,Pucca,5,C1,0,,,31aug2018,0,Spouse of Head,38,35,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",0,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,12,3,0,0,1,0,0,0,,,0,0
101003,Kushalpur,Ag Only,14dec2017,0,Head of Household,0 No,"2 Has heard of vitamins, but not A",0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,0 Male,0,2 No Formal Education,1 Full,Pucca,6,B1,0,,,31aug2018,0,Head of Household,45,50,1 Yes,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,"3 Yes, has heard about vitamin A",0,0,"3 Yes, heard about it only",0,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,6,0,0,0,1,0,1,0,,,0,0
101004,Kushalpur,Ag Only,14dec2017,0,Head of Household,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,0 Male,0,1 Illiterate,1 Full,Pucca,8,B1,0,,,31aug2018,0,Head of Household,60,65,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",2,0 No,0 No,,,1 I asked for the OFSP ,1 A few days only,5 Only ate it one or two times total,6 No children in this household,5 Did not eat,,7,1,0,1,0,0,0,0,1.5,,1,
101005,Kushalpur,Ag Only,15dec2017,0,Head of Household,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,0 Male,0,4 9th Standard,3 None,Pucca,4,C1,0,,,31aug2018,0,Spouse of Head,35,,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"3 Yes, heard about it only",0,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,6,0,0,0,1,0,0,0,,,0,0
101006,Kushalpur,Ag Only,14dec2017,0,Other,0 No,"3 Yes, has heard about vitamin A",0,1,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,0,5 High School,1 Full,Pucca,5,B1,0,,,31aug2018,0,Spouse of Head,40,35,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"1 Yes, have seen and heard",1,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,6,0,0,0,0,0,1,0,,,0,0
101007,Kushalpur,Ag Only,15dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"2 Yes, saw it only",0,0 No,0 No,0,,,,1 Female,0,4 9th Standard,1 Full,Pucca,6,B2,0,,,31aug2018,0,Spouse of Head,35,32,0 No,2 The toilet is not working or is not being used,4 Has not heard of VA supplements and child has not received,"2 Has heard of vitamins, but not A",0,0,"1 Yes, have seen and heard",2,0 No,0 No,,,,,,,2 Ate a few times,2 Ate a few times,12,0,0,0,1,0,1,0,,,0,0
101008,Kushalpur,Ag Only,14dec2017,0,Head of Household,0 No,"2 Has heard of vitamins, but not A",0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,0 Male,0,4 9th Standard,1 Full,Pucca,6,B1,0,,,31aug2018,0,Spouse of Head,30,26,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,,,,,,,,,7,0,0,0,0,0,0,0,,,0,0
101009,Kushalpur,Ag Only,15dec2017,0,Spouse of Head,0 No,1 Has not heard of vitamins,0,0,"4 No, have neither seen nor heard",0,0 No,,1,,,,1 Female,0,6 Diploma,2 Partial,Pucca,7,A2,0,,,31aug2018,0,Spouse of Head,34,30,0 No,3 There is no toilet facility. ,4 Has not heard of VA supplements and child has not received,1 Has not heard of vitamins,0,0,"3 Yes, heard about it only",1,0 No,0 No,,,,,,,5 Did not eat,5 Did not eat,6,0,0,0,1,0,1,0,,,0,0
101010,Kushalpur,Ag Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,,,,0,0,0,,,0,0
101011,Kushalpur,Ag Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0 No,,,,,,,,,,,0,,,,0,0,0,,,0,0
